month	mouse	ID	GFP	B	T	CD19negCD3posCD11bpos	M	CD19negCD3negCD11bneg	numb
13	3	5: 931-17122014_Mouse 1189249.fcs	GFP+	48.6	3.6	2.18	17.2	1.59	16561
13	4	6: 931-17122014_Mouse 1189250.fcs	GFP+	63.5	1.88	0.44	8.25	1.62	26670
13	mock3	7: 931-17122014_Mouse 1199335.fcs	GFP+	49.2	3.65	0.64	14.1	6.99	8000
14	mock1	16: 931-20150121_Mouse 1177160.fcs	GFP+	72.4	2.2	0.49	2.69	2.93	409
14	1	17: 931-20150121_Mouse 1186366.fcs	GFP+	70.8	0.3	0.2	5.48	0.93	64871
14	2	18: 931-20150121_Mouse 1186367.fcs	GFP+	53.7	0.74	0.4	19.8	1.02	26386
14	mock2	19: 931-20150121_Mouse 1189248.fcs	GFP+	21.4	24.4	2.01	3.51	1.61	6474
14	3	20: 931-20150121_Mouse 1189249.fcs	GFP+	47.4	1.33	2.17	18.6	1.13	18737
14	4	21: 931-20150121_Mouse 1189250.fcs	GFP+	67.3	0.7	0.29	5.65	0.92	42087
14	mock3	22: 931-20150121_Mouse 1199335.fcs	GFP+	72.8	0.64	0.26	3.61	2.2	5817
15	mock1	23: 931-20150226_Mouse 1177160.fcs	GFP+	88.6	4.7	1.34	0	0	149
15	1	24: 931-20150226_Mouse 1186366.fcs	GFP+	61	3.28	0.21	7.93	1.28	2345
15	2	25: 931-20150226_Mouse 1186367.fcs	GFP+	55.3	3.46	1.05	13.3	0.77	3238
15	mock3	26: 931-20150305_Mouse 35.fcs	GFP+	75.4	5.37	1.21	7.68	2.47	1901
15	3	27: 931-20150305_Mouse 49.fcs	GFP+	52.2	5.06	6.65	14.7	5.7	3896
15	4	28: 931-20150305_Mouse 50.fcs	GFP+	75.2	2.23	1.44	9.95	2.68	5780
16	BG1	1: 931-20151016_Mouse 1319778_NOT(Debris)_001.fcs	background	0.36	0.023	0.017	0.21	79.1	282801
16	BG2	2: 931-20151016_Mouse 1333802_NOT(Debris)_002.fcs	background	0.45	0.025	0.018	0.37	35.9	226678
16	BG3	3: 931-20151016_Mouse 1347634_NOT(Debris)_003.fcs	background	0.46	0.025	2.80E-03	0.069	33.6	714479
16	BG4	4: 931-20151016_Mouse 1353672_NOT(Debris)_004.fcs	background	0.33	0.018	3.25E-03	0.13	31.6	1.63E+06
16	BG5	5: 931-20151016_Mouse 1357171_NOT(Debris)_005.fcs	background	1.64	0.16	0.07	1.66	38.5	76173
16	BG6	4: 931-20151126_Mouse 1302758_006.fcs	background	31.7	7.47	1.74	39.1	2.32	39018
16	BG7	5: 931-20151126_Mouse 1333802_007.fcs	background	65.6	7.64	0.42	12.9	2.2	409429
16	BG8	6: 931-20151126_Mouse 1347634_008.fcs	background	65.8	7.68	0.51	15	0.99	419289
16	BG9	8: 931-20151126_Mouse 1357171_010.fcs	background	57.5	6.95	0.7	20.1	2.01	246183
3	mock1	931-28022014_Mouse 1177160.fcs	GFP-	63.6	14.5	5	1.11	5.58	624790
3	1	931-28022014_Mouse 1186366.fcs	GFP-	78.5	4.24	9.89	1.55	1.46	604300
3	2	931-28022014_Mouse 1186367.fcs	GFP-	68.3	6.71	14.5	2.54	2.06	71066
3	mock2	931-28022014_Mouse 1189248.fcs	GFP-	73.1	9.09	6.33	1.12	3.21	289303
3	3	931-28022014_Mouse 1189249.fcs	GFP-	71.3	5.01	15	2.24	1.53	164150
3	4	931-28022014_Mouse 1189250.fcs	GFP-	82.4	4.12	8.08	0.97	1.39	193242
4	mock1	931-28032014_1177160.fcs	GFP-	54.8	18.5	4.75	1.2	7.26	465962
4	1	931-28032014_1186366.fcs	GFP-	62.4	10.6	10	2.03	4.73	167186
4	2	931-28032014_1186367.fcs	GFP-	68.7	5.05	14	2.84	1.67	333403
4	mock2	931-28032014_1189248.fcs	GFP-	82.2	4.01	5.79	1.05	1.4	215316
4	3	931-28032014_1189249.fcs	GFP-	69.7	6.37	11.1	2.41	2.57	355919
4	4	931-28032014_1189250.fcs	GFP-	61.5	3.12	24.7	3.24	1.09	656435
4	5	931-28032014_1199334.fcs	GFP-	64.6	9.59	10.8	1.24	2.28	464720
4	mock3	931-28032014_1199335.fcs	GFP-	66.6	5.78	6.38	1.06	1.96	115987
5	mock1	931-24042014_Mouse 1177160.fcs	GFP-	67.9	14.9	1.18E-03	9.21	10.9	146716
5	1	931-24042014_Mouse 1186366.fcs	GFP-	76.7	4.07	0	11.1	12.5	213537
5	2	931-24042014_Mouse 1186367.fcs	GFP-	68.4	3.76	0	17	18.1	468793
5	mock2	931-24042014_Mouse 1189248.fcs	GFP-	77.6	2.38	0	12	13.6	44850
5	3	931-24042014_Mouse 1189249.fcs	GFP-	75.2	4.98	0	12.8	13.8	124889
5	4	931-24042014_Mouse 1189250.fcs	GFP-	84.5	2.42	0	7.22	7.9	5.50E+05
5	5	931-24042014_Mouse 1199334.fcs	GFP-	46	3.92	8.62E-04	34	37.5	181836
5	mock3	931-24042014_Mouse 1199335.fcs	GFP-	76.3	16.4	4.02E-03	13	2.02	74399
6	mock1	931-27052014_Mouse 1177160.fcs	GFP-	49.8	10.8	0.58	25.3	5.56	365492
6	1	931-27052014_Mouse 1186366.fcs	GFP-	70.6	2.14	0.19	15.4	4.88	152331
6	2	931-27052014_Mouse 1186367.fcs	GFP-	55.8	2.93	0.25	27.7	4.91	74652
6	mock2	931-27052014_Mouse 1189248.fcs	GFP-	72.5	2.96	0.089	11.8	5.57	398261
6	3	931-27052014_Mouse 1189249.fcs	GFP-	57.7	2.72	0.25	22.4	6.46	399054
6	4	931-27052014_Mouse 1189250.fcs	GFP-	80	2.32	0.11	12	1.88	427536
