threshold	class	mouse	LSK	MP	M	Pgen	purentLSK	purcentMP	purcentM
0	HSPC-MP-M	3	35.8553084140923	16.467568313638	28.1169977091987	5.66906e-05	44.5740482131229	20.4718970894837	34.9540546973934
0	HSPC-MP-M	3	25.6739426873469	19.0868564070851	5.16604981938841	6.09031e-05	51.4231185141749	38.2296436132616	10.3472378725635
0	HSPC-MP-M	3	27.2655764423034	13.7697941405689	11.452776607079	5.14741e-05	51.9461590892722	26.2341021311666	21.8197387795613
0	HSPC-MP-M	4	7.15505879539725	10.8364825705827	28.9248244185401	5.11582e-06	15.2506671728569	23.0974466785281	61.6518861486151
0	HSPC-MP-M	4	10.644946946002	8.57689861329753	6.52962105461904	1.75288e-05	41.3372453910972	33.3064471312937	25.3563074776091
0	HSPC-MP-M	4	10.9857464018476	10.8278640589431	7.94167246993635	1.47144e-05	36.9203224429874	36.3897197151555	26.6899578418571
0	HSPC-MP-M	4	14.5060103947279	5.99241449034829	8.24654051051585	5.83237e-05	50.464525509404	20.8468314638055	28.6886430267905
0	HSPC-MP	3	4.45820000211977	3.58299287208993	0	4.55539e-05	55.442022991619	44.557977008381	0
0	HSPC-MP	4	12.1419433757024	2.04172221461892	0	1.65732e-05	85.6051159580908	14.3948840419091	0
0	MP-M	1	0	5.78778133543709	4.94284647509459	9.80451e-05	0	53.9370243533805	46.0629756466195
0	MP-M	1	0	14.5477630609267	4.86853378029056	6.69963e-05	0	74.9255286932184	25.0744713067816
0	MP-M	1	0	4.19275904422916	1.5927036739044	1.03256e-05	0	72.4705913511059	27.5294086488941
0	MP-M	1	0	3.88993471821403	5.81479097268251	2.11128e-05	0	40.0828920065506	59.9171079934494
0	MP-M	1	0	3.49226645258898	4.46360565141262	3.11168e-05	0	43.8954574298958	56.1045425701042
0	MP-M	1	0	2.12474079658269	2.52742469507824	6.86691e-05	0	45.6720811069881	54.3279188930118
0	MP-M	1	0	21.3182128168547	6.58014719508313	6.98323e-05	0	76.4138566128351	23.5861433871649
0	MP-M	1	0	2.17333295489022	6.69670794314446	2.2155e-05	0	24.5019496513456	75.4980503486544
0	MP-M	1	0	9.10472712206288	4.0347826974428	1.20537e-05	0	69.2927456741716	30.7072543258284
0	MP-M	1	0	5.22348218390248	5.22103709846301	1.29245e-05	0	50.0117051123817	49.9882948876183
0	MP-M	1	0	1.99079111560606	3.92458384799767	1.52114e-05	0	33.6545211056788	66.3454788943212
0	MP-M	3	0	7.4215820080634	6.30904209314065	8.07234e-05	0	54.051308617593	45.948691382407
0	MP-M	3	0	6.24032673457478	7.26207088230845	3.94392e-05	0	46.2164343817868	53.7835656182132
0	MP-M	3	0	3.23375134627748	3.51151809115175	3.76794e-05	0	47.9410255776222	52.0589744223778
0	MP-M	3	0	3.96041031283033	7.10424502183212	5.19158e-05	0	35.7933455046131	64.2066544953869
0	MP-M	3	0	6.47434528680117	2.39793856842966	4.4445e-05	0	72.9727023215572	27.0272976784428
0	MP-M	3	0	2.32325052340473	8.02294725631854	7.93533e-05	0	22.4551141672344	77.5448858327656
0	MP-M	4	0	7.38086004571515	14.2277126013756	9.06748e-05	0	34.157092031291	65.842907968709
0	MP-M	4	0	17.208944988778	21.3896640483211	3.9502e-06	0	44.5843656496471	55.4156343503529
0	MP-M	4	0	13.1087987525155	4.9347741763856	3.20606e-05	0	72.6507926349699	27.34920736503
0	MP-M	4	0	3.03756416802527	3.84466125955553	3.42578e-06	0	44.1363654821899	55.8636345178101
